DATE SYM Y X1 X2 e1 e2
1 A -5.4053 -1.8884 1.3252 -6.2836 -3.3072
2 A 2.7899 1.071 -0.28463 4.575 -1.4835
3 A -2.9995 0.43087 0.96141 -5.2384 1.967
4 A -11.827 -2.3887 -0.38921 -16.335 -0.94219
5 A 2.142 0.17124 0.66517 1.4195 3.7058
6 A -3.1439 0.063685 -0.601 -4.7571 0.6838
7 A -5.7404 -0.11913 -0.50773 -9.8848 3.9866
8 A -4.2733 -2.5585 1.99 -2.1075 -9.2677
9 A -14.868 2.686 -1.1085 -16.89 -10.537
10 A -1.6978 -1.4893 -0.79167 -5.0863 6.5756
11 A -2.568 0.40644 0.19104 -9.8369 14.271
12 A 4.2952 -0.97856 1.7224 -0.89844 16.325
13 A -3.9726 0.23699 0.73266 -2.3462 -7.9629
14 A -3.2746 -0.13385 -1.8571 -3.4746 -2.5027
15 A 6.5063 -0.10992 0.72137 7.1107 5.0482
16 A -10.864 0.23014 0.34115 -13.446 -5.0241
17 A 6.4879 2.3718 -0.5232 8.3274 1.941
18 A -0.29757 0.20848 0.20958 -5.9029 12.709
19 A -5.0236 -0.72383 1.1304 -13.174 13.885
20 A -4.399 0.29604 0.35344 -5.1848 -2.7108
21 A -7.136 0.69184 0.97558 -5.0539 -12.332
22 A 9.3961 -0.32332 0.83877 7.3712 14.113
23 A 0.32584 1.335 -0.21713 -1.5175 4.4429
24 A 10.844 0.24027 0.72838 9.8885 13.001
25 A -7.963 -0.41939 -0.15859 -11.48 0.27287
26 A 6.9591 -0.5821 0.55004 9.6908 0.64867
27 A -3.2565 1.0037 -3.7912 -4.7567 0.6825
28 A 18.851 1.8665 0.11486 28.139 -2.9936
29 A -1.1617 1.5274 0.4537 0.70975 -5.8692
30 A 3.0159 1.109 0.95268 4.1679 0.0084488
31 A -13.413 -0.50054 0.53228 -3.7217 -36.145
32 A -5.4344 -0.41608 -2.2042 -0.8605 -15.715
33 A 12.013 0.19194 -0.67575 8.3167 20.819
34 A 3.6057 0.52658 -1.4464 2.6747 5.962
35 A -2.9151 -0.78016 -2.0588 -4.3545 0.89338
36 A 1.4471 -1.3756 0.28003 2.2141 -0.14744
37 A 3.6726 -0.18088 -0.22869 4.2969 2.315
38 A -20.097 0.059034 -0.0065259 -11.577 -40.152
39 A -10.356 -0.56682 -0.59405 -19.201 10.39
40 A -15.167 -1.6817 0.6435 -13.649 -18.662
41 A -10.099 -0.35877 -0.025916 -11.972 -5.7486
42 A 2.8405 0.82528 0.10329 5.9417 -4.5271
43 A -1.2963 -0.11719 -0.7548 -2.2551 1.0757
44 A -10.67 0.58736 -0.38835 -13.423 -4.3675
45 A 5.8348 -1.2048 -0.56008 8.7773 -0.68715
46 A 9.9237 -0.10803 -1.958 11.711 6.182
47 A -5.8221 -0.33041 0.95611 -3.8425 -10.594
48 A 4.4282 2.5709 -0.93211 -6.6163 29.962
49 A -3.1816 0.85703 -0.57116 2.187 -15.783
50 A 5.3911 -0.23851 0.33782 -0.28278 18.659
51 A 10.018 1.3028 0.3265 18.079 -8.9783
52 A -5.1034 1.4002 -1.4559 -2.8913 -10.298
53 A -3.6473 1.2547 0.84329 -4.5006 -2.0372
54 A 1.3905 -0.079511 -1.1915 3.0066 -2.1565
55 A 1.333 -1.12 -0.71919 3.7496 -3.9874
56 A 8.7513 -0.84195 0.42422 3.5502 21.03
57 A -4.6026 -0.43269 -0.66692 -11.188 10.908
58 A 0.45779 -2.0134 -0.47711 -2.2839 7.275
59 A -0.26012 0.25888 1.2679 8.8353 -21.74
60 A 2.4445 -0.40851 1.2161 -4.8491 19.348
61 A 1.6869 0.75863 0.35233 0.9382 3.2622
62 A -3.6619 -1.3454 -0.55205 -2.0242 -7.1969
63 A 5.017 0.93372 0.71515 0.77594 14.679
64 A -12.283 -0.71888 -0.30303 -15.536 -4.6255
